Name,Typedef,,,,
Author,Kevin Weiss,,,,
Revision,1.00.00c,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Class Name,total size,type,name,array size,description
,,,,,
sys,,,,,
,,,sn,,
,,,fw_rev,,
,,,build_time,,time of build in ticks
,,,echo,,
,,,echo_p1,,
,,,const_test,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
i2c,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,addr_length,,
,,,slave_addr_1,,
,,,slave_addr_2,,
,,,increment_mem,,
,,,gen_call_en,,
,,,clk_stretch,,
,,,error,,
,,,inject_failure_mode,,
,,,data,,
,,,,,
,,,,,
,,,,,
spi,,,,,
,,,data_size,,
,,,first_bit,,
,,,mode,,
,,,cs_enable,,
,,,data_8,,
,,,data_16,,
,,,,,
uart,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
adc,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
pwm,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
tmr,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
map,128,,,,
,,sys,sys,,
,,i2c,i2c,,
,,spi,spi,,
,,uart,uart,,
,,adc,adc,2,
,,pwm,pwm,,
,,tmr,tmr,,
