Name,Size,Offset,Description,Access
sys.sn[12],12,0,Unique ID of the device,0x22-0x22-0x22-0x22-0x22-0x22-0x22-0x22-0x22-0x22-0x22-0x22-/* sys.sn[12] */
sys.fw_rev,4,12,Firmware revision,0x22-0x22-0x22-0x22-/* sys.fw_rev */
sys.build_time.second,1,16,The seconds in decimal,0x22-/* sys.build_time.second */
sys.build_time.minute,1,17,The minutes in decimal,0x22-/* sys.build_time.minute */
sys.build_time.hour,1,18,The hours in decimal,0x22-/* sys.build_time.hour */
sys.build_time.day_of_month,1,19,The months in decimal,0x22-/* sys.build_time.day_of_month */
sys.build_time.day_of_week,1,20,The week in decimal,0x22-/* sys.build_time.day_of_week */
sys.build_time.month,1,21,The month in decimal,0x22-/* sys.build_time.month */
sys.build_time.year,1,22,The last two digits of the year in decimal (20xx),0x22-/* sys.build_time.year */
sys.build_time.res[1],1,23,Reserved bytes,0x22-/* sys.build_time.res[1] */
sys.device_num,4,24,A constant number that should always be the same,0x22-0x22-0x22-0x22-/* sys.device_num */
sys.cr,1,28,Specific modes for I2C,0x22-/* sys.cr */
sys.res[3],3,29,Reserved bytes,0x22-0x22-0x22-/* sys.res[3] */
i2c.mode,1,32,Specific modes for I2C,0x22-/* i2c.mode */
i2c.error_code,2,33,Error code for I2C,0x22-0x22-/* i2c.error_code */
i2c.clk_stretch_delay,2,35,delay in us for clock stretch,0x22-0x22-/* i2c.clk_stretch_delay */
i2c.inject_failure_mode,1,37,Injects failures for the bus,0x22-/* i2c.inject_failure_mode */
i2c.slave_addr_1,2,38,Primary slave address,0x22-0x22-/* i2c.slave_addr_1 */
i2c.slave_addr_2,2,40,Secondary slave address,0x22-0x22-/* i2c.slave_addr_2 */
i2c.r_count,1,42,last read frame byte count,0x22-/* i2c.r_count */
i2c.w_count,1,43,last write frame byte count,0x22-/* i2c.w_count */
i2c.res[4],4,44,Reserved bytes,0x22-0x22-0x22-0x22-/* i2c.res[4] */
spi.mode,1,48,,0x22-/* spi.mode */
spi.error_code,4,49,,0x22-0x22-0x22-0x22-/* spi.error_code */
spi.res[11],11,53,Reserved bytes,0x22-0x22-0x22-0x22-0x22-0x22-0x22-0x22-0x22-0x22-0x22-/* spi.res[11] */
uart.mode,1,64,,0x22-/* uart.mode */
uart.error_code,2,65,,0x22-0x22-/* uart.error_code */
uart.baud,4,67,,0x22-0x22-0x22-0x22-/* uart.baud */
uart.reg_output,1,71,,0x22-/* uart.reg_output */
uart.size,1,72,,0x22-/* uart.size */
uart.res[7],7,73,Reserved bytes,0x22-0x22-0x22-0x22-0x22-0x22-0x22-/* uart.res[7] */
rtc.second,1,80,The seconds in decimal,0x22-/* rtc.second */
rtc.minute,1,81,The minutes in decimal,0x22-/* rtc.minute */
rtc.hour,1,82,The hours in decimal,0x22-/* rtc.hour */
rtc.day_of_month,1,83,The months in decimal,0x22-/* rtc.day_of_month */
rtc.day_of_week,1,84,The week in decimal,0x22-/* rtc.day_of_week */
rtc.month,1,85,The month in decimal,0x22-/* rtc.month */
rtc.year,1,86,The last two digits of the year in decimal (20xx),0x22-/* rtc.year */
rtc.res[1],1,87,Reserved bytes,0x22-/* rtc.res[1] */
adc[0].mode,1,88,,0x22-/* adc[0].mode */
adc[0].error_code,2,89,,0x22-0x22-/* adc[0].error_code */
adc[0].sample_rate,1,91,,0x22-/* adc[0].sample_rate */
adc[0].value,4,92,,0x22-0x22-0x22-0x22-/* adc[0].value */
adc[0].res[8],8,96,Reserved bytes,0x22-0x22-0x22-0x22-0x22-0x22-0x22-0x22-/* adc[0].res[8] */
adc[1].mode,1,104,,0x22-/* adc[1].mode */
adc[1].error_code,2,105,,0x22-0x22-/* adc[1].error_code */
adc[1].sample_rate,1,107,,0x22-/* adc[1].sample_rate */
adc[1].value,4,108,,0x22-0x22-0x22-0x22-/* adc[1].value */
adc[1].res[8],8,112,Reserved bytes,0x22-0x22-0x22-0x22-0x22-0x22-0x22-0x22-/* adc[1].res[8] */
pwm.mode,1,120,,0x22-/* pwm.mode */
pwm.error_code,2,121,,0x22-0x22-/* pwm.error_code */
pwm.duty,1,123,,0x22-/* pwm.duty */
pwm.freq,4,124,,0x22-0x22-0x22-0x22-/* pwm.freq */
pwm.res[8],8,128,Reserved bytes,0x22-0x22-0x22-0x22-0x22-0x22-0x22-0x22-/* pwm.res[8] */
tmr.mode,1,136,,0x22-/* tmr.mode */
